"","Year","Rate","wave"
"1","2008",3.65,1
"2","2009",4.35,2
"3","2010",4.99,3
"4","2011",4.98,4
"5","2012",5.82,5
"6","2013",7.24,6
"7","2014",7.42,7
"8","2015",6.87,8
"9","2016",6.01,9
"10","2017",4.84,10
"11","2018",3.83,11
"12","2019",3.38,12
"13","2020",3.82,13
"14","2021",4.21,14
"15","2022",3.538,15
