"","Year","Net Migration Rate (per 1,000 population)","wave"
"1","2007","1.1439999999999999",1
"2","2008","1.411",2
"3","2009","1.742",3
"4","2010","2.1459999999999999",4
"5","2011","2.5049999999999999",5
"6","2012","2.8",6
"7","2013","3.044",7
"8","2014","3.242",8
"9","2015","3.391",9
"10","2016","3.4820000000000002",10
"11","2017","3.5270000000000001",11
"12","2018","3.5209999999999999",12
"13","2019","3.4769999999999999",13
"14","2020","3.379",14
"15","2021","3.2869999999999999",15
